【转】一位直博生的读书体会,我是一名即将毕业的直博生。2007年七月本科毕业，九月博士生入学；2012年十月提交毕业论文，下个月，即十二月将要答辩毕业。谨以此文献给我五年多的博士生生涯。<br/>一、为什么要读博，要不要读博<br/>我本科的班里有20名学生，系里有大约120名学生，四年学习过来我在班里的排名是7/20，系里大概是35/120。年级保研的比例大概为前20%，在保研开始的时候我就知道和我关系不大。当初可以选择的道路有两条，一是找工作，二是考研。我当时想的并不多，觉得“理所应当”地继续读个硕士再工作比较好，所以几乎没有纠结过这个问题。在论坛上搜索整理了考研复习的经验，在暑假上了考研班，开始准备考试。大四开学的时候面试过一个公司，被录取了。几乎同时，年级的保研也正式开始了。这时候才知道除了那20%的名额以外，还有些别的花样，比如别的学校给的名额，别的学院给的名额，还有直博生名额。我的导师大四带我了一门课，我问他问题比较多，他对我有些印象，后来他手头有了直博生的名额，我的排名也比较合适，他就问我愿不愿意读他的博士生。我想了一下，读硕士要三年，读直博据说是五年，只多了两年，相当的划算啊，而且不用参加研究生入学考试了，于是就彻底放弃了工作的想法，同意直博了。当时我忽略掉的问题是，直博的名额是在硕士保研之后的，也就是说成绩最好的同学都是保硕士的，直博的名额是排在后面的，这说明还是保硕士好啊。区别在哪里呢？区别其实在于保硕士的同学在读硕士期间如果有兴趣读博，可以免试转为博士生；在转博前可以先硕士答辩，拿到硕士学位，也可以直接转了，等毕业拿博士学位。而直博生必须读到底，如果中途想退出，要四年才能拿个硕士学位走人；而如果想拿博士学位，所谓的5年其实是最短时限。所以，直博生的压力相对是要大一些的，因为没有退路。直博生入学也有考试的，不过难度不大，我们几个报名的都顺利通过了考试。<br/>回首我当年的决定，除了感觉毕业年限比较短之外，还有个很吸引我的地方，就是我大三暑假的时候国家基金委发起了联合培养博士生计划，大四开学的时候本校就有很多才开始读博的师兄直接申请出国了。所以我在学校直博，应该也很快可以申请联合培养的。<br/>总结一下，我当初选择读博士有两个方面的原因：一个是自己想偷懒，不想参加硕士招生的全国统考了，而且直博时限相对比较短；二是读博期间有机会出国学习一段时间。<br/>我问过自己很多次，如果重新给我一次机会回头做选择，我会怎么选呢？这就牵扯到我想谈的第一个问题，为什么要读博？有人是因为科研兴趣，有人是因为找不到理想的工作，有人是因为顺着导师、家长的建议，等等。<br/>当然，如果是真心有科研兴趣的人，绝对是适合做这件事的。但是，我想大多数的人应该像我当年一样，并不知道自己的选择意味着什么。毕竟从小到本科快毕业，我的学习生涯都是以考试为导向的，几乎所有的学习对象都是有标准答案的。如果有问题不会，可以问问会的人，总是可以找到令我放心的依靠的。如果成绩不是那么理想，也不打紧，毕业就是一条分数线，过了线也就安全了。但是读博士就不一样了，课程学习的分量简直可以忽略不计，学习的过程转变为先学习，后探索，再开拓的过程。当科研的道路上遇到困难的时候，最值得依靠的人就是导师了，可是即便是导师，他可能也不知道自己心中的“标准答案”是否正确！学习，从一个封闭的系统转换到了一个开放的系统。所以，如果对这些没有足够的心里准备，最好就不要读博了。好在大部分人的读博选择都是在硕士阶段做出的，这时候他们已经经历过本科毕业设计和一段时间的硕士生学习了，应该清楚自己是否适应这个相对开放的系统了。<br/>如果是因为找不到工作而读博，我觉得要分两种情况看。一种是硕士期间的工作做的挺好，因为毕业年的工作形势很差而没有找到合适工作的，这种情况是适合读博的，稍微的缓冲一下，并且接着硕士的工作继续发展，读博期间的压力也会相对小一点；另一种是硕士期间基本是混过来的，导致找工作不太顺利，这种情况就要慎重了，如果要继续读博，那一定要做好足够的心理准备，并且下定决心改变过去的科研状态，那样才会比较顺利的毕业。对于一般的普通人来说，想混毕业还是挺难的。读了博之后其实找工作的方向更窄了，到时候也不是不好找，而是要去的单位比较有针对性了，那么读博期间的成果就是未来找工作的资本了。
求问直博第一年是博士待遇吗？比如住宿条件，上课安排和补助，求,求问直博第一年是博士待遇吗？比如住宿条件，上课安排和补助，求大佬解答
直博的优劣,对于很多本科生来说直博是个挺神秘的称呼。首先，对于免试推荐生而言，直博比读硕可能有更高的淘汰率。但是在国内以及国际形式而言，博士的毕业率一直是个让在读博士头痛的问题。建议想要选择读博的学生好好思考结合自己的实际情况，考虑清楚再做决定。直博的优势:1.节约学习时间。通常比普通硕士生毕业再考博至少节省1年时间。博士年轻是职场最难能可贵的资本。2.提升学习效率。省略了考博的准备期，不必把时间花在很多不必要的复习工作上，可以专心研究专业。直博的劣势:1. 博士毕业风险。如果研究能力较弱的学生可能存在博士论文长期通不过的风险，如果博士不能毕业，那么硕士学位也没了，所以需要事先考虑成熟。2. 博士就业风险。普通本科、硕士毕业一般能胜任企业普通职位，但博士就业一般适合企事业单位中、高层职位，或留在高校或科研机构从事研究工作，因此就业面比本科、硕士窄。
选直博保研简单还是，选研究生保研简单，如果直博是不是要提前联,选直博保研简单还是，选研究生保研简单，如果直博是不是要提前联系导师，怎么联系最好
直博的纠结,吉大机械大三的，学校直博政策应该马上开始了，纠结要直博还是要考研，有没有师兄师姐给些建议
直博的纠结,吉大机械大三的，学校直博政策应该马上开始了，纠结要直博还是要考研，有没有师兄师姐给些建议
直博只能读本校吗？,考研后直博是不是只能读本校？
直博资格,本人中国海洋大学大二学生，想了解获得直博资格的条件，求各路大神指导
发现，直博好难啊。。。。,直博要求好高，有点无力感。
北大药学院国家重点实验室的直博,北大药学院国家重点实验室的直博，有前辈吗？还有，想问问当一个导师的大弟子是什么感觉。。。有点慌
直博生待遇问题,是按硕士发，还是按博士发？还是学校自己定？大家都说说一个月能拿到手多少呢？
做红主播靠的不是脸蛋和口才，而是经验和渠道，月入上万秘笈分享,你以为你有张漂亮脸蛋就能红了？那你可以去试试！你以为有个会说相声的好口才就能红了？那你也可以去试试！最后你会奇怪一个问题，为什么那些相貌平平，口拙齿笨的人反而比你红的多呢？道理很简单，因为他们有吸引粉丝的渠道，而你没有，你靠的仅仅是占个房间等着顾客自已送上门，而他们则能运用渠道拉来一车又一车的客户，相比之下，你的手腕就相形见拙，我有个妹妹也是做主播的，他在百度上无意中搜索，第九季度，发现一个大型的吸粉的软件超市，于是就在上面购买了一款吸粉软件，几个星期后他的微信粉丝爆满，于是就在微信朋友圈里发动态，吸引来大量的精准粉丝，很快就红了，再有就是我的一个朋友，她利用被动式吸粉软件专门去吸引男性色粉，这些粉都是兴趣点很高的目标客户，一传十，十传百，很快就为他红起来奠定了快速的基石，所以红不红取决的不是脸蛋和口才，最重要的是渠道啊！（喜欢我就给我点赞吧）
大神求助，申请直博的条件是什么？,本人大三，有一定保研机会，但英语不好，目前四级未过，能申请直博吗
吉大博士毕业出路,在吉大读完博士就业出路怎么样？留普通高校困难吗
提前来实验室进行直博生活，发现自己很不开心，我该怎么办？,我是985本科计算机方向专业，9月末保送到华五高校计算机直博，这学期过来做毕设，提前体验博士生活，导师说开学之后生活就这样。现在我天天看论文头都要炸，感到生活非常压抑，我该怎么办？是开学之后退学找工作还是有什么方法？
统考生被录取后能申请直博吗，有学姐学长能传授一下经验吗，谢谢,统考生被录取后能申请直博吗，有学姐学长能传授一下经验吗，谢谢
武大本科生获北大“保研直博”资格却选择工作,本科毕业后再读书5年，就能拿到北京大学博士学位，对于这样的机会，武汉大学应届本科生于义翔却最终选择了放弃。昨日，记者联系上已签约著名企业万科公司的他，了解背后缘由。<br/>　　于义翔是武汉大学土木工程专业大四学生，在学生中颇有名气。有人说，他是武大最牛本科生之一。理由之一是，读大三时，他的一项发明成功应用于大秦铁路茶坞工务段施工中。该技术可在不中断铁路运输的情况下加固铁路桥梁，为当时的铁路施工节省了100多万元成本。<br/>　　
直博问题,工科有多少人直博5年正常毕业?
本科生求助，求申请直博方法,普通二本，大三，想申请出国留学直博，国内的话，靠成绩获得保研是不可能的了。应该只有出国了吧，但是不知道流程还没有一点经验，有前辈愿意解答申请出国直博方法么
直不直博呢。。。好犹豫啊！！,直不直博呢。。。好犹豫啊！！
【转】考研经验分享：从普通二本到中科院直博的逆袭之路,当自己的名字在中科院金属所的官网上挂出来的时候，自己心里激动不已，同时自己也觉得自己的大学也要结束了，大学已经画上了一个句号了，剩下的什么毕业设计都是浮云了，自己人生最美好的时光留给了山建，自己觉得应该写点什么去纪念自己即将逝去的青春吧。<br/>一路走下来，自己真的很疲倦很累，但是这个结果对得起自己的付出了。
北大直博,不是听说清华北大直博用的他自己的名额吗，我们学校没有推免资格，能申请这个吗？
关注魅族吧，MX4赢回家！,这个活动很给力，小伙伴们不要错过哦！
【转】博士的故事,　有一个博士分到一家研究所，成为学历最高的一个人。 <br/>　　有一天他到单位后面的小池塘去钓鱼，正好正副所长在他的一左一右，也在钓鱼。 <br/>　　他只是微微点了点头，这两个本科生，有啥好聊的呢？ <br/>　　不一会儿，正所长放下钓竿，伸伸懒腰，蹭蹭蹭从水面上如飞地走到对面上厕所。 <br/>　　博士眼睛睁得都快掉下来了。水上飘？不会吧？这可是一个池塘啊。 <br/>　　正所长上完厕所回来的时候，同样也是蹭蹭蹭地从水上飘回来了。 <br/>　　怎么回事？博士生又不好去问，自己是博士生哪！ <br/>　　过一阵，副所长也站起来，走几步，蹭蹭蹭地飘过水面上厕所。这下子博士更是差点昏倒：不会吧，到了一个江湖高手集中的地方？ <br/>　　博士生也内急了。这个池塘两边有围墙，要到对面厕所非得绕十分钟的路，而回单位上又太远，怎么办？ <br/>　　博士生也不愿意去问两位所长，憋了半天后，也起身往水里跨：我就不信本科生能过的水面，我博士生不能过。 <br/>　　只听咚的一声，博士生栽到了水里。 <br/>　　两位所长将他拉了出来，问他为什么要下水，他问：“为什么你们可以走过去呢？” <br/>　　两所长相视一笑：“这池塘里有两排木桩子，由于这两天下雨涨水正好在水面下。我们都知道这木桩的位置，所以可以踩着桩子过去。你怎么不问一声呢？” <br/>　　学历只能说代表过去，只有学习能力才能代表将来；尊重经验的人，才能少走弯路，才能真正学习到知识，一个好的团体，也应该是学习型的团体。
今天520了，增加点人气,特殊日子，祝大家快快乐乐，幸福每一天！
增加点人气呗~,只有脚踏实地过后，才能仰望星空。<br/>每一次灿烂都是努力和汗水后的收获。
一个本科生的英语学习经历,"我是在初一的时候开始学习英语的,当年,凭着比别人聪明的脑袋,背下了初中的所有单词,英语成绩在班上也是遥遥领先,但是,由于对班主任兼英语老师某先生的讨厌,我对英语始终没有多大兴趣,学英语只是为了在班上争个好名次.初中三年的英语学习生涯简简单单的过去了,那时侯,没有刻意的去学习英语,学英语也没有让我感觉到痛苦.<br/>　　"
关于直博生的问题,关于直博生的问题：<br/>1、申请直博生需要什么附加的条件吗，直博生和硕博连读的学生在攻读的年限上都是五年吗？  <br/>     2010年是首年试点。所以直博生申请条件就是：  A）拟录2011年免试学术型硕士生  B）学生本人有直博意愿，且联系到有2011年博士招生计划的博士生导师同意接收  C) 如果申报的人数超过直博生名额（最多20人），则通过所里的会议审批     （没有通过的同学我们会及时反馈，以便完成硕士入学报名的现场确认。）     一般普通硕士和博士的学制是三年。也有所谓的上限之说。     直博学制是5年。上限现在没有具体政策。也会有上限。<br/> 2、在入学之后直博生的待遇和硕博连读有一些相关的差别吗？   <br/>     硕博连读一入学是硕士学籍   直博生直接定位是博士研究生   待遇会有差别。具体情况，相关政策正在制定中 3、如果没有申请直博生，也可以选择硕博连读吗？   目前来看直博生、硕博连续和统考生是不同的类别。没有申请直博生，也可以选择硕博连读。
硕博连读,直博就是本科毕业后直接读博士学位。硕博连读一般是5年，是先上硕士课程做硕士论文，如果硕士论文起点高质量好，可达到博士论文水平，就继续做博士学位论文，完成并通过评审和答辩后，授博士学位，这个过程中不授硕士学位。如果论文达不到博士的水平，可以申请硕士学位。
直博的标准,一般高校，对直博生的要求只限制在英语六级成绩，以及雅思或者托福成绩，同时对平时考试成绩也有相应的较为严格的规定。所以直博生总体数量不多。对于获取面试资格的学生来说，如果英语达到要求。一般申请直博会更有把握。
“直博”的概述,实质上，直博生并没有跳过硕士阶段，在博士课程开设前都会开始相应的硕士课程，只是进入博士课程时间进度上比较快！一般直博的时间会比硕士加博士的时间要短，直博一般是5年，硕士加博士一般是6年。老师对其的重视程度跟一般的硕士生是不一样的。另外，与直博类似的另一个词是直硕，指的是在应届本科毕业前通过申请和申请攻读学校直接对申请学生进行选拔！不需要参加全国硕士研究生统一入学考试！本科推免生=直硕+直博直博生主要还是针对理工医药方面，而直硕生则涉及任何一个学科。
“直博”的含义,直博生是指在应届本科毕业前（本科毕业时要求同时取得毕业证和学位证，毕业档案完整的移送），不必参加博士研究生统一入学考试，而是通过本科生申请和申请攻读学校直接对申请学生进行选拔而获得直接攻读博士学位的资格的学生。通常来讲开设直博生院校的学校实力都非常强，当然这对学生的选拔要求就非常高，基本集中在211工程院校，甚至有的学校直接在招考简章中指明是985工程院校的应届本科生毕业生！读直博的学生一般来讲不需通过全国统一考试。
直博开始主要考什么呀？,想去考北大的直博，一般需要什么专业知识呀？
直博吧不是应该传授一下直博的方法、经验、心得嘛。。。？,如题。。。求前辈不潜水不路过。。。求酱油也好啊。。。
